18.67953, 50.28572,
18.67963, 50.28581,
18.67967, 50.28585,
18.67976, 50.28598,
18.67966, 50.28614,
18.67953, 50.28632,
18.67948, 50.28633,
18.67951, 50.28638,
18.67933, 50.28643,
18.67912, 50.28649,
18.67883, 50.28659,
18.67862, 50.28668,
18.67841, 50.28676,
18.67841, 50.28676,
18.67838, 50.28677,
18.67819, 50.28685,
18.678, 50.28694,
18.67793, 50.28697,
18.67776, 50.28706,
18.67762, 50.28713,
18.67755, 50.28717,
18.67745, 50.28722,
18.67731, 50.28729,
18.67732, 50.2873,
18.67737, 50.28734,
18.67741, 50.28738,
18.67741, 50.2874,
18.67749, 50.28767,
18.67754, 50.28772,
18.67753, 50.28772,
18.67749, 50.28774,
18.6774, 50.28778,
18.67761, 50.28795,
18.67782, 50.2881,
18.67782, 50.2881,
18.67799, 50.28824,
