Point 0: Lat: 50.1296519, Long: 19.4335365, MAE: 0.0, Group: 0, Time: 1722252824555
Point 1: Lat: 50.1296474301363, Long: 19.433554658571303, MAE: 0.0, Group: 0, Time: 1722252826576
Point 2: Lat: 50.12963857580193, Long: 19.433582013024445, MAE: 0.0, Group: 0, Time: 1722252828616
Point 3: Lat: 50.12963355770173, Long: 19.433613192324223, MAE: 0.0, Group: 0, Time: 1722252830571
Point 4: Lat: 50.12963056477575, Long: 19.433640711200532, MAE: 0.0, Group: 0, Time: 1722252832561
Point 5: Lat: 50.129630508478115, Long: 19.433671089082075, MAE: 0.0, Group: 0, Time: 1722252834562
Point 6: Lat: 50.12962927559332, Long: 19.433693845637695, MAE: 0.0, Group: 0, Time: 1722252836574
Point 7: Lat: 50.12962768524898, Long: 19.43371981883221, MAE: 0.0, Group: 0, Time: 1722252838560
Point 8: Lat: 50.129629790979244, Long: 19.433753142236533, MAE: 0.0, Group: 0, Time: 1722252841042
Point 9: Lat: 50.129633128978504, Long: 19.433785137643014, MAE: 0.0, Group: 0, Time: 1722252842561
Point 10: Lat: 50.12963886269116, Long: 19.433822649470557, MAE: 0.0, Group: 1, Time: 1722252844557
Point 11: Lat: 50.12964347178812, Long: 19.433855041151332, MAE: 0.0, Group: 1, Time: 1722252846586
Point 12: Lat: 50.12964452319431, Long: 19.43390215488687, MAE: 0.0, Group: 1, Time: 1722252848573
Point 13: Lat: 50.12964214647354, Long: 19.43397596638807, MAE: 0.0, Group: 1, Time: 1722252851055
Point 14: Lat: 50.12963802205226, Long: 19.43403125467629, MAE: 0.0, Group: 1, Time: 1722252852556
Point 15: Lat: 50.12964094998956, Long: 19.434089783395905, MAE: 0.0, Group: 1, Time: 1722252854562
Point 16: Lat: 50.12964275245661, Long: 19.43413888648933, MAE: 0.0, Group: 1, Time: 1722252856571
Point 17: Lat: 50.12963887848694, Long: 19.434182765916642, MAE: 0.0, Group: 1, Time: 1722252858579
Point 18: Lat: 50.12963506852779, Long: 19.43421799725588, MAE: 0.0, Group: 1, Time: 1722252860573
Point 19: Lat: 50.129632859062106, Long: 19.434250179950165, MAE: 0.0, Group: 1, Time: 1722252862569
Point 20: Lat: 50.129632170424955, Long: 19.434283963399587, MAE: 0.0, Group: 2, Time: 1722252864563
Point 21: Lat: 50.129629876859354, Long: 19.434321218385563, MAE: 0.0, Group: 2, Time: 1722252866568
