Point 0: Lat: 50.1295736, Long: 19.4335576, MAE: 0.0, Group: 0, Time: 1721744867416
Point 1: Lat: 50.12958060810379, Long: 19.43356142378762, MAE: 0.0, Group: 0, Time: 1721744868597
Point 2: Lat: 50.12958381000525, Long: 19.43356565507932, MAE: 0.0, Group: 0, Time: 1721744869433
Point 3: Lat: 50.129588560802105, Long: 19.433573417012038, MAE: 0.0, Group: 0, Time: 1721744870411
Point 4: Lat: 50.12959178859417, Long: 19.43358380833636, MAE: 0.0, Group: 0, Time: 1721744871412
Point 5: Lat: 50.12959397131147, Long: 19.43359636334732, MAE: 0.0, Group: 0, Time: 1721744872419
Point 6: Lat: 50.12959509318511, Long: 19.43361362787954, MAE: 0.0, Group: 0, Time: 1721744873586
Point 7: Lat: 50.12959471431631, Long: 19.433628584224508, MAE: 0.0, Group: 0, Time: 1721744874448
Point 8: Lat: 50.12959458981147, Long: 19.433643729187047, MAE: 0.0, Group: 0, Time: 1721744875424
Point 9: Lat: 50.12959583940875, Long: 19.433659988345724, MAE: 0.0, Group: 0, Time: 1721744876418
Point 10: Lat: 50.12959668329744, Long: 19.43367708367056, MAE: 0.0, Group: 0, Time: 1721744877404
Point 11: Lat: 50.12959746334289, Long: 19.4336946948774, MAE: 0.0, Group: 0, Time: 1721744878543
Point 12: Lat: 50.12959941481699, Long: 19.43371224925406, MAE: 0.0, Group: 0, Time: 1721744879414
Point 13: Lat: 50.12959983721413, Long: 19.433730404801278, MAE: 0.0, Group: 0, Time: 1721744880417
Point 14: Lat: 50.1295998638711, Long: 19.433751200226403, MAE: 0.0, Group: 0, Time: 1721744881414
Point 15: Lat: 50.12960031558529, Long: 19.433773252134234, MAE: 0.0, Group: 0, Time: 1721744882418
Point 16: Lat: 50.1296037562118, Long: 19.433796799161072, MAE: 0.0, Group: 1, Time: 1721744883611
Point 17: Lat: 50.129608089767984, Long: 19.433817011888205, MAE: 0.0, Group: 1, Time: 1721744884409
Point 18: Lat: 50.12961264251997, Long: 19.433841006239753, MAE: 0.0, Group: 1, Time: 1721744885415
Point 19: Lat: 50.12961580607996, Long: 19.433862779491673, MAE: 0.0, Group: 1, Time: 1721744886402
Point 20: Lat: 50.12961956401296, Long: 19.43388479859251, MAE: 0.0, Group: 1, Time: 1721744887418
Point 21: Lat: 50.129624729673054, Long: 19.433908914964835, MAE: 0.0, Group: 1, Time: 1721744888405
Point 22: Lat: 50.12962853602757, Long: 19.433931762107083, MAE: 0.0, Group: 1, Time: 1721744889413
Point 23: Lat: 50.12963212103122, Long: 19.43395353714059, MAE: 0.0, Group: 1, Time: 1721744890404
Point 24: Lat: 50.12963632349993, Long: 19.433971764680297, MAE: 0.0, Group: 1, Time: 1721744891421
Point 25: Lat: 50.12963926759335, Long: 19.433990278711132, MAE: 0.0, Group: 1, Time: 1721744892414
Point 26: Lat: 50.1296413191062, Long: 19.434012291637234, MAE: 0.0, Group: 1, Time: 1721744893632
Point 27: Lat: 50.12964304488295, Long: 19.434030931604156, MAE: 0.0, Group: 1, Time: 1721744894408
Point 28: Lat: 50.129644287957476, Long: 19.434052486531872, MAE: 0.0, Group: 1, Time: 1721744895418
Point 29: Lat: 50.12964517377484, Long: 19.43407329029154, MAE: 0.0, Group: 1, Time: 1721744896414
Point 30: Lat: 50.12964633986772, Long: 19.43409284470133, MAE: 0.0, Group: 1, Time: 1721744897407
Point 31: Lat: 50.12964779671913, Long: 19.43411097401201, MAE: 0.0, Group: 1, Time: 1721744898414
Point 32: Lat: 50.12964849866669, Long: 19.434130914178045, MAE: 0.0, Group: 2, Time: 1721744899436
Point 33: Lat: 50.1296497374088, Long: 19.43415019691063, MAE: 0.0, Group: 2, Time: 1721744900405
Point 34: Lat: 50.12965336964528, Long: 19.434169053517195, MAE: 0.0, Group: 2, Time: 1721744901609
Point 35: Lat: 50.129654776397366, Long: 19.434188421700203, MAE: 0.0, Group: 2, Time: 1721744902709
Point 36: Lat: 50.12965494447746, Long: 19.434205789169805, MAE: 0.0, Group: 2, Time: 1721744903691
Point 37: Lat: 50.12965443979081, Long: 19.434223223638934, MAE: 0.0, Group: 2, Time: 1721744904712
Point 38: Lat: 50.129653067887375, Long: 19.434243355284526, MAE: 0.0, Group: 2, Time: 1721744905752
Point 39: Lat: 50.129650802932225, Long: 19.43426476908443, MAE: 0.0, Group: 2, Time: 1721744906830
Point 40: Lat: 50.12964907017009, Long: 19.434286704396303, MAE: 0.0, Group: 2, Time: 1721744907911
Point 41: Lat: 50.12964792032911, Long: 19.434309796785307, MAE: 0.0, Group: 2, Time: 1721744908991
Point 42: Lat: 50.12964813568544, Long: 19.43433140507742, MAE: 0.0, Group: 2, Time: 1721744910073
Point 43: Lat: 50.12964844395102, Long: 19.434342285691624, MAE: 0.0, Group: 2, Time: 1721744910553
Point 44: Lat: 50.12964894705892, Long: 19.4343626420885, MAE: 0.0, Group: 2, Time: 1721744911611
Point 45: Lat: 50.12964952699936, Long: 19.434384813951528, MAE: 0.0, Group: 2, Time: 1721744912632
Point 46: Lat: 50.129649736474796, Long: 19.43440575579123, MAE: 0.0, Group: 2, Time: 1721744913632
Point 47: Lat: 50.12965041457659, Long: 19.434427146672327, MAE: 0.0, Group: 2, Time: 1721744914712
Point 48: Lat: 50.12965191202061, Long: 19.43444947191114, MAE: 0.0, Group: 3, Time: 1721744915850
Point 49: Lat: 50.129652758354666, Long: 19.43446971453977, MAE: 0.0, Group: 3, Time: 1721744916871
Point 50: Lat: 50.12965247677966, Long: 19.434489605741142, MAE: 0.0, Group: 3, Time: 1721744917871
Point 51: Lat: 50.12965257045973, Long: 19.434510070415385, MAE: 0.0, Group: 3, Time: 1721744918929
Point 52: Lat: 50.12965409047188, Long: 19.43453014184152, MAE: 0.0, Group: 3, Time: 1721744920030
Point 53: Lat: 50.129655672274374, Long: 19.434542585859234, MAE: 0.0, Group: 3, Time: 1721744920671
Point 54: Lat: 50.12965807588413, Long: 19.43456278935999, MAE: 0.0, Group: 3, Time: 1721744921851
Point 55: Lat: 50.129659138612126, Long: 19.43457230568234, MAE: 0.0, Group: 3, Time: 1721744922419
Point 56: Lat: 50.12965902770831, Long: 19.43458665525368, MAE: 0.0, Group: 3, Time: 1721744923416
Point 57: Lat: 50.12965908011994, Long: 19.434602271656367, MAE: 0.0, Group: 3, Time: 1721744924415
Point 58: Lat: 50.12965940044019, Long: 19.434618363342167, MAE: 0.0, Group: 3, Time: 1721744925406
Point 59: Lat: 50.12965939527451, Long: 19.434644440357914, MAE: 0.0, Group: 3, Time: 1721744926973
Point 60: Lat: 50.129658380358244, Long: 19.434661510016305, MAE: 0.0, Group: 3, Time: 1721744928009
Point 61: Lat: 50.129656385183935, Long: 19.434683348192646, MAE: 0.0, Group: 3, Time: 1721744929052
Point 62: Lat: 50.12965431770522, Long: 19.434699302869276, MAE: 0.0, Group: 3, Time: 1721744930110
Point 63: Lat: 50.12965155009573, Long: 19.434718706918403, MAE: 0.0, Group: 3, Time: 1721744931190
Point 64: Lat: 50.12964859039398, Long: 19.434739281644028, MAE: 0.0, Group: 4, Time: 1721744932232
Point 65: Lat: 50.129646012010845, Long: 19.434755130065973, MAE: 0.0, Group: 4, Time: 1721744932910
Point 66: Lat: 50.129641990064876, Long: 19.434781892037645, MAE: 0.0, Group: 4, Time: 1721744933912
Point 67: Lat: 50.1296401994721, Long: 19.434800489875226, MAE: 0.0, Group: 4, Time: 1721744934949
Point 68: Lat: 50.1296399514151, Long: 19.43481399887613, MAE: 0.0, Group: 4, Time: 1721744935470
Point 69: Lat: 50.1296384006756, Long: 19.4348441735929, MAE: 0.0, Group: 4, Time: 1721744937029
Point 70: Lat: 50.12963818448498, Long: 19.434867152793576, MAE: 0.0, Group: 4, Time: 1721744938090
Point 71: Lat: 50.12963856983053, Long: 19.43488387046518, MAE: 0.0, Group: 4, Time: 1721744938717
Point 72: Lat: 50.12963852115075, Long: 19.434904834972684, MAE: 0.0, Group: 4, Time: 1721744939550
Point 73: Lat: 50.129638220788955, Long: 19.434926702701596, MAE: 0.0, Group: 4, Time: 1721744940629
Point 74: Lat: 50.129637775971204, Long: 19.434947505252094, MAE: 0.0, Group: 4, Time: 1721744941629
Point 75: Lat: 50.12963771836722, Long: 19.43497029110637, MAE: 0.0, Group: 4, Time: 1721744942711
Point 76: Lat: 50.12963762919391, Long: 19.434993841075922, MAE: 0.0, Group: 4, Time: 1721744943757
Point 77: Lat: 50.12963746046933, Long: 19.43501540848903, MAE: 0.0, Group: 4, Time: 1721744944731
