Point 0: Lat: 50.1351457, Long: 19.4322508, MAE: 0.0, Group: 0, Time: 1719501408685
Point 1: Lat: 50.1351457007821, Long: 19.432250799614643, MAE: 0.0, Group: 0, Time: 1719501409678
Point 2: Lat: 50.1351277856773, Long: 19.432225302109256, MAE: 0.0, Group: 0, Time: 1719501410691
Point 3: Lat: 50.135119746368225, Long: 19.432206351787492, MAE: 0.0, Group: 0, Time: 1719501411694
Point 4: Lat: 50.13511241596356, Long: 19.432178479433112, MAE: 0.0, Group: 0, Time: 1719501412675
Point 5: Lat: 50.13510282403342, Long: 19.432140187837426, MAE: 0.0, Group: 0, Time: 1719501413697
Point 6: Lat: 50.13509049575039, Long: 19.432094854836873, MAE: 0.0, Group: 1, Time: 1719501414684
Point 7: Lat: 50.13507647726274, Long: 19.432044679973554, MAE: 0.0, Group: 1, Time: 1719501415689
Point 8: Lat: 50.13506200317731, Long: 19.431988893602032, MAE: 0.0, Group: 1, Time: 1719501416693
Point 9: Lat: 50.135051010676484, Long: 19.43193290762716, MAE: 0.0, Group: 1, Time: 1719501417696
Point 10: Lat: 50.135040204252434, Long: 19.431874279029994, MAE: 0.0, Group: 1, Time: 1719501418691
Point 11: Lat: 50.135030162867444, Long: 19.431815683537558, MAE: 0.0, Group: 1, Time: 1719501419684
Point 12: Lat: 50.13501968475776, Long: 19.43175984427383, MAE: 0.0, Group: 2, Time: 1719501420685
Point 13: Lat: 50.13501042920305, Long: 19.431701491010408, MAE: 0.0, Group: 2, Time: 1719501421696
Point 14: Lat: 50.134994927289405, Long: 19.431640793027064, MAE: 0.0, Group: 2, Time: 1719501422691
Point 15: Lat: 50.13497611285428, Long: 19.431580873356427, MAE: 0.0, Group: 2, Time: 1719501423690
Point 16: Lat: 50.13495935343249, Long: 19.43152358099427, MAE: 0.0, Group: 2, Time: 1719501424698
Point 17: Lat: 50.13494288814831, Long: 19.431465554614835, MAE: 0.0, Group: 2, Time: 1719501425691
Point 18: Lat: 50.13492785167276, Long: 19.43140819199004, MAE: 0.0, Group: 3, Time: 1719501426706
Point 19: Lat: 50.134912371087424, Long: 19.431349545765, MAE: 0.0, Group: 3, Time: 1719501427683
Point 20: Lat: 50.134899307548515, Long: 19.431285850610468, MAE: 0.0, Group: 3, Time: 1719501428694
Point 21: Lat: 50.134885091234594, Long: 19.431231238254657, MAE: 0.0, Group: 3, Time: 1719501429695
Point 22: Lat: 50.13487060688689, Long: 19.43117152961672, MAE: 0.0, Group: 3, Time: 1719501430694
Point 23: Lat: 50.13485620398161, Long: 19.431114764083826, MAE: 0.0, Group: 3, Time: 1719501431693
Point 24: Lat: 50.134843034987824, Long: 19.431059293756345, MAE: 0.0, Group: 4, Time: 1719501432691
Point 25: Lat: 50.134829168326284, Long: 19.431006521885006, MAE: 0.0, Group: 4, Time: 1719501433697
Point 26: Lat: 50.13481811683029, Long: 19.43095933309992, MAE: 0.0, Group: 4, Time: 1719501434695
Point 27: Lat: 50.1348101425063, Long: 19.430912784620144, MAE: 0.0, Group: 4, Time: 1719501435698
Point 28: Lat: 50.13480082794702, Long: 19.43086061839512, MAE: 0.0, Group: 4, Time: 1719501436697
Point 29: Lat: 50.13478579601953, Long: 19.430803908513912, MAE: 0.0, Group: 4, Time: 1719501437695
Point 30: Lat: 50.13477193627777, Long: 19.430746680772472, MAE: 0.0, Group: 5, Time: 1719501438686
