Point 0: Lat: 50.13512530202685, Long: 19.432207638864323, MAE: 6.129408911732526E-4, Group: 0, Time: 1719501408685
Point 1: Lat: 50.13512530202685, Long: 19.432207638864323, MAE: 6.129408911732526E-4, Group: 0, Time: 1719501409678
Point 2: Lat: 50.13512530008828, Long: 19.432207633773242, MAE: 6.129338615252777E-4, Group: 0, Time: 1719501410691
Point 3: Lat: 50.135125299484486, Long: 19.4322076323223, MAE: 6.129318067848999E-4, Group: 0, Time: 1719501411694
Point 4: Lat: 50.13512529874369, Long: 19.43220763065262, MAE: 6.129293963077487E-4, Group: 0, Time: 1719501412675
Point 5: Lat: 50.135125297300426, Long: 19.432207627424685, MAE: 6.12924725110986E-4, Group: 0, Time: 1719501413697
Point 6: Lat: 50.1350577237841, Long: 19.431955567973095, MAE: 69.56701329175719, Group: 1, Time: 1719501414684
Point 7: Lat: 50.13505771961792, Long: 19.43195554794029, MAE: 69.56701326755821, Group: 1, Time: 1719501415689
Point 8: Lat: 50.13505771688944, Long: 19.431955534911214, MAE: 69.56701325180066, Group: 1, Time: 1719501416693
Point 9: Lat: 50.13505771505295, Long: 19.43195552648859, MAE: 69.56701324154155, Group: 1, Time: 1719501417696
Point 10: Lat: 50.13505771267531, Long: 19.431955515833767, MAE: 69.56701322850908, Group: 1, Time: 1719501418691
Point 11: Lat: 50.135057709512466, Long: 19.431955501631464, MAE: 69.56701321114393, Group: 1, Time: 1719501419684
Point 12: Lat: 50.134982620824964, Long: 19.431607024506558, MAE: 69.56658964533152, Group: 2, Time: 1719501420685
Point 13: Lat: 50.13498261380398, Long: 19.43160699928276, MAE: 69.56658961308673, Group: 2, Time: 1719501421696
Point 14: Lat: 50.134982605191404, Long: 19.43160696826535, MAE: 69.56658957345675, Group: 2, Time: 1719501422691
Point 15: Lat: 50.13498259759929, Long: 19.43160694032134, MAE: 69.56658953792063, Group: 2, Time: 1719501423690
Point 16: Lat: 50.134982589775774, Long: 19.43160691105514, MAE: 69.56658950083091, Group: 2, Time: 1719501424698
Point 17: Lat: 50.134982578172384, Long: 19.431606867790602, MAE: 69.56658944596299, Group: 2, Time: 1719501425691
Point 18: Lat: 50.13489101390297, Long: 19.43125660705189, MAE: 69.56614762095487, Group: 3, Time: 1719501426706
