Point 54: Lat: 50.57182513326277, Long: 22.061954866522996, MAE: 72.63377999978576, Group: 8, Time: 1720205572025
Point 55: Lat: 50.57180426676196, Long: 22.06188050032031, MAE: 72.63368476708227, Group: 9, Time: 1720205573136
Point 56: Lat: 50.571804266726915, Long: 22.061880500201312, MAE: 72.63368476692823, Group: 9, Time: 1720205574176
Point 57: Lat: 50.5718042666973, Long: 22.061880500101005, MAE: 72.6336847667983, Group: 9, Time: 1720205575038
Point 58: Lat: 50.57180426666835, Long: 22.06188050000082, MAE: 72.63368476666918, Group: 9, Time: 1720205576036
Point 59: Lat: 50.57180426662621, Long: 22.06188049984851, MAE: 72.63368476647472, Group: 9, Time: 1720205577156
Point 60: Lat: 50.57180426657184, Long: 22.06188049965153, MAE: 72.63368476622337, Group: 9, Time: 1720205578257
Point 61: Lat: 50.57177965013366, Long: 22.06178370059872, MAE: 72.63356335073237, Group: 10, Time: 1720205579036
Point 62: Lat: 50.571779650066695, Long: 22.06178370029974, MAE: 72.63356335036643, Group: 10, Time: 1720205580042
Point 63: Lat: 50.571779650011095, Long: 22.061783700051507, MAE: 72.6335633500626, Group: 10, Time: 1720205581176
Point 64: Lat: 50.571779649983156, Long: 22.06178369992791, MAE: 72.63356334991107, Group: 10, Time: 1720205582035
Point 65: Lat: 50.57177964993228, Long: 22.06178369970423, MAE: 72.63356334963652, Group: 10, Time: 1720205583031
Point 66: Lat: 50.57177964986474, Long: 22.06178369940748, MAE: 72.63356334927222, Group: 10, Time: 1720205584055
Point 67: Lat: 50.57175565006361, Long: 22.061685666876485, MAE: 72.6334413169401, Group: 11, Time: 1720205585216
Point 68: Lat: 50.571755650029765, Long: 22.06168566676359, MAE: 72.63344131679335, Group: 11, Time: 1720205586335
Point 69: Lat: 50.57175565001909, Long: 22.061685666728145, MAE: 72.63344131674724, Group: 11, Time: 1720205587152
Point 70: Lat: 50.57175564999601, Long: 22.061685666649772, MAE: 72.63344131664579, Group: 11, Time: 1720205588060
Point 71: Lat: 50.57175564997981, Long: 22.061685666592933, MAE: 72.63344131657274, Group: 11, Time: 1720205589075
Point 72: Lat: 50.5717556499372, Long: 22.061685666442035, MAE: 72.63344131637923, Group: 11, Time: 1720205590296
Point 73: Lat: 50.5717284003956, Long: 22.0615880515784, MAE: 72.633316451974, Group: 12, Time: 1720205591041
Point 74: Lat: 50.5717284002331, Long: 22.061588050928645, MAE: 72.63331645116175, Group: 12, Time: 1720205592039
Point 75: Lat: 50.57172840007631, Long: 22.0615880503032, MAE: 72.63331645037951, Group: 12, Time: 1720205593133
