Point 0: Lat: 50.1349906, Long: 19.4323115, MAE: 0.0, Group: 0, Time: 1718126297625
Point 1: Lat: 50.13500172004087, Long: 19.432312123414643, MAE: 0.0, Group: 0, Time: 1718126299620
Point 2: Lat: 50.13499264823476, Long: 19.432314755000924, MAE: 0.0, Group: 1, Time: 1718126302337
Point 3: Lat: 50.134986439389365, Long: 19.432314125135626, MAE: 0.0, Group: 1, Time: 1718126303917
Point 4: Lat: 50.134962212401035, Long: 19.43233606868572, MAE: 0.0, Group: 1, Time: 1718126306075
Point 5: Lat: 50.13492055204715, Long: 19.432373200486882, MAE: 0.0, Group: 2, Time: 1718126308235
Point 6: Lat: 50.13488234375908, Long: 19.432407033875656, MAE: 0.0, Group: 2, Time: 1718126310374
Point 7: Lat: 50.13485724718654, Long: 19.43242808467105, MAE: 0.0, Group: 2, Time: 1718126312035
Point 8: Lat: 50.134838453539935, Long: 19.432442696391533, MAE: 0.0, Group: 2, Time: 1718126313862
Point 9: Lat: 50.13481132152979, Long: 19.432463359006412, MAE: 0.0, Group: 3, Time: 1718126316619
Point 10: Lat: 50.13478729721147, Long: 19.43248242996972, MAE: 0.0, Group: 3, Time: 1718126318733
Point 11: Lat: 50.13476898419916, Long: 19.432502282001636, MAE: 0.0, Group: 3, Time: 1718126320638
Point 12: Lat: 50.1347467467758, Long: 19.432520111208458, MAE: 0.0, Group: 3, Time: 1718126322638
Point 13: Lat: 50.134720840873165, Long: 19.43254194964415, MAE: 0.0, Group: 4, Time: 1718126324832
Point 14: Lat: 50.13469509689139, Long: 19.432562995938124, MAE: 0.0, Group: 4, Time: 1718126327033
Point 15: Lat: 50.13467627139111, Long: 19.43258045270205, MAE: 0.0, Group: 4, Time: 1718126328691
Point 16: Lat: 50.13465446905549, Long: 19.432601603227127, MAE: 0.0, Group: 5, Time: 1718126331073
Point 17: Lat: 50.13463735963, Long: 19.432618351452536, MAE: 0.0, Group: 5, Time: 1718126332711
Point 18: Lat: 50.13461512133386, Long: 19.432639105258616, MAE: 0.0, Group: 6, Time: 1718126335111
Point 19: Lat: 50.134595594598174, Long: 19.432661927245935, MAE: 0.0, Group: 6, Time: 1718126336871
Point 20: Lat: 50.13458141373672, Long: 19.43270059133051, MAE: 0.0, Group: 6, Time: 1718126338957
Point 21: Lat: 50.13457772773847, Long: 19.43274104221191, MAE: 0.0, Group: 7, Time: 1718126341053
Point 22: Lat: 50.134580208046415, Long: 19.432772106781357, MAE: 0.0, Group: 7, Time: 1718126342771
Point 23: Lat: 50.13458466174158, Long: 19.432805525319598, MAE: 0.0, Group: 7, Time: 1718126344990
Point 24: Lat: 50.134590980049715, Long: 19.432843191841314, MAE: 0.0, Group: 8, Time: 1718126347212
Point 25: Lat: 50.13459665423821, Long: 19.432875758085693, MAE: 0.0, Group: 8, Time: 1718126349031
Point 26: Lat: 50.13460810161937, Long: 19.432908904033646, MAE: 0.0, Group: 9, Time: 1718126351171
Point 27: Lat: 50.134614289287526, Long: 19.43293605929524, MAE: 0.0, Group: 9, Time: 1718126352791
Point 28: Lat: 50.1346197179904, Long: 19.432964003194726, MAE: 0.0, Group: 9, Time: 1718126354641
Point 29: Lat: 50.13462347246051, Long: 19.43299795073782, MAE: 0.0, Group: 10, Time: 1718126356972
Point 30: Lat: 50.13462560402243, Long: 19.43302892665063, MAE: 0.0, Group: 10, Time: 1718126358931
Point 31: Lat: 50.134622398684066, Long: 19.433054780421724, MAE: 0.0, Group: 10, Time: 1718126360689
Point 32: Lat: 50.13461283053392, Long: 19.433076699681877, MAE: 0.0, Group: 10, Time: 1718126362634
Point 33: Lat: 50.134598114789185, Long: 19.433095052035043, MAE: 0.0, Group: 10, Time: 1718126364654
Point 34: Lat: 50.13457670146153, Long: 19.43311025452588, MAE: 0.0, Group: 10, Time: 1718126367009
Point 35: Lat: 50.13454978156932, Long: 19.433118154200653, MAE: 0.0, Group: 11, Time: 1718126369136
Point 36: Lat: 50.13452065394089, Long: 19.433125402179627, MAE: 0.0, Group: 11, Time: 1718126371150
Point 37: Lat: 50.13449538598674, Long: 19.433133291146085, MAE: 0.0, Group: 11, Time: 1718126372828
Point 38: Lat: 50.13446594473007, Long: 19.433141395606718, MAE: 0.0, Group: 12, Time: 1718126375229
Point 39: Lat: 50.13444374542851, Long: 19.4331445631359, MAE: 0.0, Group: 12, Time: 1718126376848
Point 40: Lat: 50.13441538377087, Long: 19.433146149437516, MAE: 0.0, Group: 13, Time: 1718126379175
