Point 0: Lat: 50.13499770000007, Long: 19.43231190000001, MAE: 5.896000000795709E-4, Group: 0, Time: 1718126297625
Point 1: Lat: 50.13499770000007, Long: 19.43231190000001, MAE: 5.896000000795709E-4, Group: 0, Time: 1718126299620
Point 2: Lat: 50.13498004902814, Long: 19.43231804788098, MAE: 69.56729809690911, Group: 1, Time: 1718126302337
Point 3: Lat: 50.13498004902814, Long: 19.43231804788098, MAE: 69.56729809690911, Group: 1, Time: 1718126303917
Point 4: Lat: 50.13498004902814, Long: 19.43231804788098, MAE: 69.56729809690911, Group: 1, Time: 1718126306075
Point 5: Lat: 50.13485537168392, Long: 19.43242981244669, MAE: 69.56728518413061, Group: 2, Time: 1718126308235
Point 6: Lat: 50.13485537168392, Long: 19.43242981244669, MAE: 69.56728518413061, Group: 2, Time: 1718126310374
Point 7: Lat: 50.13485537168392, Long: 19.43242981244669, MAE: 69.56728518413061, Group: 2, Time: 1718126312035
Point 8: Lat: 50.13485537168392, Long: 19.43242981244669, MAE: 69.56728518413061, Group: 2, Time: 1718126313862
Point 9: Lat: 50.13476188251954, Long: 19.432507110531077, MAE: 69.56726899305062, Group: 3, Time: 1718126316619
Point 10: Lat: 50.13476188251954, Long: 19.432507110531077, MAE: 69.56726899305062, Group: 3, Time: 1718126318733
Point 11: Lat: 50.13476188251954, Long: 19.432507110531077, MAE: 69.56726899305062, Group: 3, Time: 1718126320638
Point 12: Lat: 50.13476188251954, Long: 19.432507110531077, MAE: 69.56726899305062, Group: 3, Time: 1718126322638
Point 13: Lat: 50.13467633094365, Long: 19.43257919638029, MAE: 69.56725552732394, Group: 4, Time: 1718126324832
Point 14: Lat: 50.13467633094365, Long: 19.43257919638029, MAE: 69.56725552732394, Group: 4, Time: 1718126327033
Point 15: Lat: 50.13467633094365, Long: 19.43257919638029, MAE: 69.56725552732394, Group: 4, Time: 1718126328691
Point 16: Lat: 50.13462989999999, Long: 19.432625600000012, MAE: 69.5672555, Group: 5, Time: 1718126331073
Point 17: Lat: 50.13462989999999, Long: 19.432625600000012, MAE: 69.5672555, Group: 5, Time: 1718126332711
Point 18: Lat: 50.13458142886584, Long: 19.432684937744416, MAE: 69.56726636661026, Group: 6, Time: 1718126335111
Point 19: Lat: 50.13458142886584, Long: 19.432684937744416, MAE: 69.56726636661026, Group: 6, Time: 1718126336871
Point 20: Lat: 50.13458142886584, Long: 19.432684937744416, MAE: 69.56726636661026, Group: 6, Time: 1718126338957
Point 21: Lat: 50.13458117491576, Long: 19.43278674352819, MAE: 69.56736791844395, Group: 7, Time: 1718126341053
Point 22: Lat: 50.13458117491576, Long: 19.43278674352819, MAE: 69.56736791844395, Group: 7, Time: 1718126342771
Point 23: Lat: 50.13458117491576, Long: 19.43278674352819, MAE: 69.56736791844395, Group: 7, Time: 1718126344990
Point 24: Lat: 50.13459829999999, Long: 19.432885650000003, MAE: 69.56748395, Group: 8, Time: 1718126347212
Point 25: Lat: 50.13459829999999, Long: 19.432885650000003, MAE: 69.56748395, Group: 8, Time: 1718126349031
Point 26: Lat: 50.13461988035767, Long: 19.43295830870598, MAE: 69.56757818906365, Group: 9, Time: 1718126351171
Point 27: Lat: 50.13461988035767, Long: 19.43295830870598, MAE: 69.56757818906365, Group: 9, Time: 1718126352791
Point 28: Lat: 50.13461988035767, Long: 19.43295830870598, MAE: 69.56757818906365, Group: 9, Time: 1718126354641
Point 29: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126356972
Point 30: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126358931
Point 31: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126360689
Point 32: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126362634
Point 33: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126364654
Point 34: Lat: 50.13460845288166, Long: 19.43308064999395, MAE: 69.5676891028756, Group: 10, Time: 1718126367009
Point 35: Lat: 50.134505143707855, Long: 19.433129723947065, MAE: 69.56763486765492, Group: 11, Time: 1718126369136
Point 36: Lat: 50.134505143707855, Long: 19.433129723947065, MAE: 69.56763486765492, Group: 11, Time: 1718126371150
Point 37: Lat: 50.134505143707855, Long: 19.433129723947065, MAE: 69.56763486765492, Group: 11, Time: 1718126372828
