Point 0: Lat: 50.13496606472773, Long: 19.43237829683528, MAE: 6.24361563009046E-4, Group: 0, Time: 1716206011904
Point 1: Lat: 50.13496606377917, Long: 19.432378297477364, MAE: 6.243612565306478E-4, Group: 0, Time: 1716206012900
Point 2: Lat: 50.134966063066116, Long: 19.432378297958632, MAE: 6.243610247480547E-4, Group: 0, Time: 1716206013912
Point 3: Lat: 50.13496606227416, Long: 19.432378298492253, MAE: 6.243607664124795E-4, Group: 0, Time: 1716206014905
Point 4: Lat: 50.13496606123478, Long: 19.432378299194394, MAE: 6.243604291711335E-4, Group: 0, Time: 1716206015903
Point 5: Lat: 50.13496606007889, Long: 19.432378299990805, MAE: 6.243600696933527E-4, Group: 0, Time: 1716206016894
Point 6: Lat: 50.13496605846223, Long: 19.432378301149267, MAE: 6.243596114998695E-4, Group: 0, Time: 1716206017911
Point 7: Lat: 50.13496605773149, Long: 19.43237830167847, MAE: 6.243594099579752E-4, Group: 0, Time: 1716206018928
Point 8: Lat: 50.13496605690253, Long: 19.432378302276902, MAE: 6.2435917942949E-4, Group: 0, Time: 1716206019913
Point 9: Lat: 50.13496605471891, Long: 19.432378303842423, MAE: 6.243585613319169E-4, Group: 0, Time: 1716206021170
Point 10: Lat: 50.13486364935057, Long: 19.432446018245034, MAE: 69.56730966759561, Group: 1, Time: 1716206022251
Point 11: Lat: 50.13486361570158, Long: 19.432446045968856, MAE: 69.56730966167044, Group: 1, Time: 1716206023251
Point 12: Lat: 50.134863603396894, Long: 19.43244605610221, MAE: 69.5673096594991, Group: 1, Time: 1716206023932
Point 13: Lat: 50.134863575752036, Long: 19.43244607875396, MAE: 69.56730965450599, Group: 1, Time: 1716206024989
Point 14: Lat: 50.134863557687154, Long: 19.43244609335152, MAE: 69.56730965103867, Group: 1, Time: 1716206026049
Point 15: Lat: 50.13486353976074, Long: 19.432446107643834, MAE: 69.56730964740457, Group: 1, Time: 1716206027241
Point 16: Lat: 50.13486352204879, Long: 19.43244612172375, MAE: 69.56730964377255, Group: 1, Time: 1716206028239
Point 17: Lat: 50.134863508344594, Long: 19.432446132659322, MAE: 69.56730964100392, Group: 1, Time: 1716206028908
Point 18: Lat: 50.134863483634604, Long: 19.432446152471037, MAE: 69.56730963610565, Group: 1, Time: 1716206029907
Point 19: Lat: 50.13486344560209, Long: 19.4324461830998, MAE: 69.56730962870189, Group: 1, Time: 1716206031078
Point 20: Lat: 50.13473930965869, Long: 19.432544920554356, MAE: 69.56728423021305, Group: 2, Time: 1716206032178
Point 21: Lat: 50.13473929050782, Long: 19.43254493578922, MAE: 69.56728422629703, Group: 2, Time: 1716206033319
Point 22: Lat: 50.13473928753617, Long: 19.4325449381505, MAE: 69.56728422568668, Group: 2, Time: 1716206033919
Point 23: Lat: 50.13473927659987, Long: 19.432544946842743, MAE: 69.56728422344261, Group: 2, Time: 1716206034958
Point 24: Lat: 50.134739266017704, Long: 19.43254495529585, MAE: 69.56728422131356, Group: 2, Time: 1716206036159
Point 25: Lat: 50.134739257349125, Long: 19.432544962287366, MAE: 69.56728421963649, Group: 2, Time: 1716206037259
Point 26: Lat: 50.1347392481453, Long: 19.432544969753856, MAE: 69.56728421789916, Group: 2, Time: 1716206038319
Point 27: Lat: 50.13473924109864, Long: 19.432544975472343, MAE: 69.56728421657098, Group: 2, Time: 1716206038943
Point 28: Lat: 50.134739227869815, Long: 19.432544986190408, MAE: 69.56728421406022, Group: 2, Time: 1716206039998
Point 29: Lat: 50.13473920892677, Long: 19.4325450015027, MAE: 69.56728421042946, Group: 2, Time: 1716206041158
Point 30: Lat: 50.134625315267336, Long: 19.432647482228216, MAE: 69.56727279749555, Group: 3, Time: 1716206042360
Point 31: Lat: 50.13462530790184, Long: 19.432647490062507, MAE: 69.56727279796435, Group: 3, Time: 1716206042905
Point 32: Lat: 50.134625296781124, Long: 19.432647501914126, MAE: 69.56727279869526, Group: 3, Time: 1716206043978
Point 33: Lat: 50.13462528730075, Long: 19.432647512027355, MAE: 69.56727279932811, Group: 3, Time: 1716206045159
Point 34: Lat: 50.13462528076325, Long: 19.43264751896867, MAE: 69.56727279973192, Group: 3, Time: 1716206046178
Point 35: Lat: 50.134625274028146, Long: 19.43264752605057, MAE: 69.56727280007871, Group: 3, Time: 1716206047297
Point 36: Lat: 50.134625266231524, Long: 19.43264753417898, MAE: 69.5672728004105, Group: 3, Time: 1716206048378
Point 37: Lat: 50.13462525984679, Long: 19.432647540813633, MAE: 69.56727280066042, Group: 3, Time: 1716206049118
Point 38: Lat: 50.13462525063571, Long: 19.432647550384072, MAE: 69.56727280101978, Group: 3, Time: 1716206050138
Point 39: Lat: 50.134625245699, Long: 19.43264755551887, MAE: 69.56727280121787, Group: 3, Time: 1716206051017
Point 40: Lat: 50.13459056920043, Long: 19.432792796932237, MAE: 69.56738336613266, Group: 4, Time: 1716206052037
Point 41: Lat: 50.134590568953755, Long: 19.432792795980905, MAE: 69.56738336493466, Group: 4, Time: 1716206053067
Point 42: Lat: 50.13459056892575, Long: 19.432792795872814, MAE: 69.56738336479856, Group: 4, Time: 1716206054357
Point 43: Lat: 50.13459056925376, Long: 19.43279279713759, MAE: 69.56738336639135, Group: 4, Time: 1716206054937
Point 44: Lat: 50.13459056970724, Long: 19.432792798879692, MAE: 69.56738336858693, Group: 4, Time: 1716206056088
Point 45: Lat: 50.13459057002721, Long: 19.432792800117138, MAE: 69.56738337014434, Group: 4, Time: 1716206057241
Point 46: Lat: 50.134590570331426, Long: 19.432792801307524, MAE: 69.56738337163895, Group: 4, Time: 1716206058398
Point 47: Lat: 50.13459057048111, Long: 19.432792801895108, MAE: 69.56738337237621, Group: 4, Time: 1716206058923
Point 48: Lat: 50.13459057087069, Long: 19.432792803423848, MAE: 69.56738337429454, Group: 4, Time: 1716206060098
Point 49: Lat: 50.13459057137211, Long: 19.432792805388036, MAE: 69.56738337676015, Group: 4, Time: 1716206061359
Point 50: Lat: 50.13463232953005, Long: 19.43296991769969, MAE: 69.56760224722974, Group: 5, Time: 1716206061999
Point 51: Lat: 50.134632329720795, Long: 19.43296991862384, MAE: 69.56760224834463, Group: 5, Time: 1716206063157
Point 52: Lat: 50.134632329866896, Long: 19.432969919334234, MAE: 69.56760224920113, Group: 5, Time: 1716206064277
Point 53: Lat: 50.13463232996254, Long: 19.432969919797635, MAE: 69.56760224976017, Group: 5, Time: 1716206065380
Point 54: Lat: 50.13463233000566, Long: 19.432969920004506, MAE: 69.56760225001017, Group: 5, Time: 1716206066100
Point 55: Lat: 50.13463233010407, Long: 19.432969920469315, MAE: 69.56760225057339, Group: 5, Time: 1716206067282
Point 56: Lat: 50.13463233022146, Long: 19.432969921015207, MAE: 69.56760225123666, Group: 5, Time: 1716206068361
Point 57: Lat: 50.13463233031882, Long: 19.432969921466796, MAE: 69.56760225178562, Group: 5, Time: 1716206069438
Point 58: Lat: 50.13463233032637, Long: 19.432969921501854, MAE: 69.56760225182822, Group: 5, Time: 1716206070196
Point 59: Lat: 50.13463233038252, Long: 19.4329699217628, MAE: 69.56760225214532, Group: 5, Time: 1716206071201
Point 60: Lat: 50.1346172518208, Long: 19.43310556840757, MAE: 69.56772282022837, Group: 6, Time: 1716206072037
Point 61: Lat: 50.13461725059668, Long: 19.43310556964634, MAE: 69.56772282024302, Group: 6, Time: 1716206073176
Point 62: Lat: 50.134617249267514, Long: 19.433105570984495, MAE: 69.56772282025202, Group: 6, Time: 1716206074417
Point 63: Lat: 50.134617246276946, Long: 19.43310557398083, MAE: 69.56772282025777, Group: 6, Time: 1716206075437
Point 64: Lat: 50.134617243205696, Long: 19.433105577096406, MAE: 69.5677228203021, Group: 6, Time: 1716206076397
Point 65: Lat: 50.13461724174096, Long: 19.433105578640127, MAE: 69.56772282038109, Group: 6, Time: 1716206076891
Point 66: Lat: 50.13461723941049, Long: 19.433105581236262, MAE: 69.56772282064675, Group: 6, Time: 1716206077913
Point 67: Lat: 50.13461723609395, Long: 19.43310558516091, MAE: 69.56772282125486, Group: 6, Time: 1716206079157
Point 68: Lat: 50.134617230734264, Long: 19.43310559157682, MAE: 69.56772282231108, Group: 6, Time: 1716206080577
Point 69: Lat: 50.134617226794916, Long: 19.433105596223257, MAE: 69.56772282301817, Group: 6, Time: 1716206081115
Point 70: Lat: 50.134494143957774, Long: 19.433149059726865, MAE: 69.56764320368464, Group: 7, Time: 1716206082217
Point 71: Lat: 50.134494090480956, Long: 19.4331490653218, MAE: 69.56764315580276, Group: 7, Time: 1716206083356
Point 72: Lat: 50.13449405188441, Long: 19.433149069524976, MAE: 69.56764312140939, Group: 7, Time: 1716206084397
Point 73: Lat: 50.13449403156661, Long: 19.433149071778697, MAE: 69.5676431033453, Group: 7, Time: 1716206084913
Point 74: Lat: 50.13449398018648, Long: 19.43314907719976, MAE: 69.56764305738623, Group: 7, Time: 1716206086396
Point 75: Lat: 50.134493966369334, Long: 19.4331490784197, MAE: 69.56764304478904, Group: 7, Time: 1716206086912
Point 76: Lat: 50.134493933623695, Long: 19.433149080760376, MAE: 69.56764301438407, Group: 7, Time: 1716206088017
Point 77: Lat: 50.13449389919112, Long: 19.433149082765357, MAE: 69.56764298195648, Group: 7, Time: 1716206089217
Point 78: Lat: 50.13449385179926, Long: 19.43314908542321, MAE: 69.56764293722247, Group: 7, Time: 1716206090435
Point 79: Lat: 50.13449379229395, Long: 19.43314908896061, MAE: 69.56764288125456, Group: 7, Time: 1716206091595
Point 80: Lat: 50.134360573875405, Long: 19.433175568579884, MAE: 69.56753614245528, Group: 8, Time: 1716206092158
Point 81: Lat: 50.13436055227986, Long: 19.433175573227867, MAE: 69.56753612550773, Group: 8, Time: 1716206093354
Point 82: Lat: 50.13436054377255, Long: 19.433175575046796, MAE: 69.56753611881935, Group: 8, Time: 1716206093954
Point 83: Lat: 50.134360528756865, Long: 19.433175578243695, MAE: 69.56753610700056, Group: 8, Time: 1716206095496
Point 84: Lat: 50.1343605209454, Long: 19.433175579921993, MAE: 69.56753610086739, Group: 8, Time: 1716206096593
Point 85: Lat: 50.13436051713376, Long: 19.43317558075522, MAE: 69.56753609788898, Group: 8, Time: 1716206097172
Point 86: Lat: 50.13436050709554, Long: 19.433175582998835, MAE: 69.56753609009438, Group: 8, Time: 1716206098476
Point 87: Lat: 50.134360495074915, Long: 19.433175585730236, MAE: 69.56753608080516, Group: 8, Time: 1716206099513
Point 88: Lat: 50.13436048600656, Long: 19.43317558779402, MAE: 69.56753607380058, Group: 8, Time: 1716206100173
Point 89: Lat: 50.134360466493305, Long: 19.433175592218355, MAE: 69.56753605871165, Group: 8, Time: 1716206101455
Point 90: Lat: 50.13428189056522, Long: 19.433231850212806, MAE: 69.56751374077803, Group: 9, Time: 1716206102492
Point 91: Lat: 50.1342818902374, Long: 19.43323185006388, MAE: 69.56751374030128, Group: 9, Time: 1716206103113
Point 92: Lat: 50.134281889940816, Long: 19.43323184981549, MAE: 69.56751373975631, Group: 9, Time: 1716206103922
Point 93: Lat: 50.134281889502915, Long: 19.433231849387003, MAE: 69.56751373888991, Group: 9, Time: 1716206105067
Point 94: Lat: 50.13428188913558, Long: 19.433231849083587, MAE: 69.56751373821916, Group: 9, Time: 1716206106395
Point 95: Lat: 50.13428188936973, Long: 19.433231849272936, MAE: 69.56751373864267, Group: 9, Time: 1716206107533
Point 96: Lat: 50.13428188955504, Long: 19.433231849433316, MAE: 69.56751373898835, Group: 9, Time: 1716206108113
Point 97: Lat: 50.13428188974958, Long: 19.433231849618018, MAE: 69.5675137393676, Group: 9, Time: 1716206108913
Point 98: Lat: 50.13428188999202, Long: 19.433231849866473, MAE: 69.5675137398585, Group: 9, Time: 1716206109929
Point 99: Lat: 50.13428189088211, Long: 19.433231850322862, MAE: 69.56751374120498, Group: 9, Time: 1716206111594
Point 100: Lat: 50.13434641435434, Long: 19.43339357566864, MAE: 69.56773999002297, Group: 10, Time: 1716206112693
Point 101: Lat: 50.13434641608481, Long: 19.43339357996174, MAE: 69.56773999604656, Group: 10, Time: 1716206113293
Point 102: Lat: 50.13434641803806, Long: 19.433393584848616, MAE: 69.56774000288667, Group: 10, Time: 1716206114392
Point 103: Lat: 50.13434641922617, Long: 19.433393587806176, MAE: 69.56774000703234, Group: 10, Time: 1716206115432
Point 104: Lat: 50.13434642024796, Long: 19.433393590272427, MAE: 69.56774001052038, Group: 10, Time: 1716206116552
Point 105: Lat: 50.13434642086047, Long: 19.433393591697207, MAE: 69.56774001255768, Group: 10, Time: 1716206117276
Point 106: Lat: 50.13434642138144, Long: 19.433393592883164, MAE: 69.5677400142646, Group: 10, Time: 1716206117919
Point 107: Lat: 50.13434642285785, Long: 19.43339359619047, MAE: 69.56774001904833, Group: 10, Time: 1716206119453
Point 108: Lat: 50.134346424007376, Long: 19.43339359876269, MAE: 69.56774002277007, Group: 10, Time: 1716206120531
Point 109: Lat: 50.13434642576154, Long: 19.43339360271616, MAE: 69.5677400284777, Group: 10, Time: 1716206121653
Point 110: Lat: 50.1344057445656, Long: 19.433574684744595, MAE: 69.5679804293102, Group: 11, Time: 1716206122191
Point 111: Lat: 50.13440574618989, Long: 19.433574689354884, MAE: 69.56798043554477, Group: 11, Time: 1716206123293
Point 112: Lat: 50.134405747917285, Long: 19.43357469423739, MAE: 69.56798044215468, Group: 11, Time: 1716206124411
Point 113: Lat: 50.134405748528806, Long: 19.433574695969135, MAE: 69.56798044449795, Group: 11, Time: 1716206125513
Point 114: Lat: 50.13440574939671, Long: 19.43357469845073, MAE: 69.56798044784745, Group: 11, Time: 1716206126572
Point 115: Lat: 50.13440575036448, Long: 19.433574701282566, MAE: 69.56798045164705, Group: 11, Time: 1716206127632
